category,file,line,issue
code,D:\DS108_final\app.py,58,"Column literal ""total_ratings"" used"
code,D:\DS108_final\app.py,36,"Column literal ""dashboard.selected_years"" used"
code,D:\DS108_final\app.py,43,"Column literal ""dashboard.price_range"" used"
code,D:\DS108_final\app.py,46,"Column literal ""dashboard.selected_genres"" used"
code,D:\DS108_final\app.py,106,"Column literal ""year"" used"
code,D:\DS108_final\app.py,108,"Column literal ""dashboard.chart_year_filter"" used"
code,D:\DS108_final\app.py,111,"Column literal ""dashboard.chart_year_filter"" used"
code,D:\DS108_final\app.py,120,"Column literal ""dashboard.chart_year_filter"" used"
code,D:\DS108_final\app.py,129,"Column literal ""year"" used"
code,D:\DS108_final\app.py,136,"Column literal ""price"" used"
code,D:\DS108_final\app.py,136,"Column literal ""wilson_score"" used"
code,D:\DS108_final\app.py,70,"Column literal ""price"" used"
code,D:\DS108_final\app.py,73,"Column literal ""wilson_score"" used"
code,D:\DS108_final\app.py,76,"Column literal ""total_ratings"" used"
code,D:\DS108_final\app.py,40,"Column literal ""price"" used"
code,D:\DS108_final\app.py,40,"Column literal ""price"" used"
code,D:\DS108_final\app.py,31,"Column literal ""year"" used"
code,D:\DS108_final\app.py,32,"Column literal ""year"" used"
code,D:\DS108_final\state.py,41,"Column literal ""genres"" used"
code,D:\DS108_final\state.py,47,"Column literal ""release_date"" used"
code,D:\DS108_final\state.py,56,"Column literal ""owners_min_known"" used"
code,D:\DS108_final\state.py,145,"Column literal ""positive_ratings"" used"
code,D:\DS108_final\state.py,145,"Column literal ""negative_ratings"" used"
code,D:\DS108_final\state.py,47,"Column literal ""release_date"" used"
code,D:\DS108_final\state.py,41,"Column literal ""genres"" used"
code,D:\DS108_final\state.py,56,"Column literal ""owners_min_known"" used"
code,D:\DS108_final\state.py,99,"Column literal ""year"" used"
code,D:\DS108_final\state.py,78,"Column literal ""year"" used"
code,D:\DS108_final\state.py,83,"Column literal ""price"" used"
code,D:\DS108_final\state.py,83,"Column literal ""price"" used"
code,D:\DS108_final\pages\1_Data_Quality.py,50,"Column literal ""Missing Records"" used"
code,D:\DS108_final\pages\1_Data_Quality.py,86,"Column literal ""price"" used"
code,D:\DS108_final\pages\1_Data_Quality.py,162,"Column literal ""wilson_score"" used"
code,D:\DS108_final\pages\1_Data_Quality.py,160,"Column literal ""price"" used"
code,D:\DS108_final\pages\1_Data_Quality.py,75,"Column literal ""initialprice"" used"
code,D:\DS108_final\pages\2_EDA.py,159,"Column literal ""popularity_tier"" used"
code,D:\DS108_final\pages\2_EDA.py,224,"Column literal ""developer_short"" used"
code,D:\DS108_final\pages\2_EDA.py,150,"Column literal ""owners_midpoint"" used"
code,D:\DS108_final\pages\2_EDA.py,148,"Column literal ""owners_min_known"" used"
code,D:\DS108_final\pages\2_EDA.py,148,"Column literal ""owners_midpoint"" used"
code,D:\DS108_final\pages\2_EDA.py,224,"Column literal ""Developer"" used"
code,D:\DS108_final\pages\2_EDA.py,209,"Column literal ""wilson_score"" used"
code,D:\DS108_final\pages\2_EDA.py,214,"Column literal ""price"" used"
code,D:\DS108_final\pages\2_EDA.py,72,"Column literal ""wilson_score"" used"
code,D:\DS108_final\pages\2_EDA.py,76,"Column literal ""wilson_score"" used"
code,D:\DS108_final\pages\2_EDA.py,78,"Column literal ""price"" used"
code,D:\DS108_final\pages\3_Statistics.py,37,"Column literal ""total_ratings"" used"
code,D:\DS108_final\pages\3_Statistics.py,132,"Column literal ""popularity_tier"" used"
code,D:\DS108_final\pages\3_Statistics.py,122,"Column literal ""owners_midpoint"" used"
code,D:\DS108_final\pages\3_Statistics.py,53,"Column literal ""is_free"" used"
code,D:\DS108_final\pages\3_Statistics.py,54,"Column literal ""is_free"" used"
code,D:\DS108_final\pages\3_Statistics.py,98,"Column literal ""price"" used"
code,D:\DS108_final\pages\3_Statistics.py,98,"Column literal ""wilson_score"" used"
code,D:\DS108_final\pages\3_Statistics.py,108,"Column literal ""owners_min_known"" used"
code,D:\DS108_final\pages\3_Statistics.py,110,"Column literal ""wilson_score"" used"
code,D:\DS108_final\pages\3_Statistics.py,114,"Column literal ""owners_midpoint"" used"
code,D:\DS108_final\pages\3_Statistics.py,114,"Column literal ""wilson_score"" used"
code,D:\DS108_final\pages\3_Statistics.py,55,"Column literal ""wilson_score"" used"
code,D:\DS108_final\pages\3_Statistics.py,56,"Column literal ""wilson_score"" used"
code,D:\DS108_final\pages\3_Statistics.py,110,"Column literal ""owners_midpoint"" used"
code,D:\DS108_final\pages\3_Statistics.py,120,"Column literal ""owners_min_known"" used"
code,D:\DS108_final\pages\3_Statistics.py,120,"Column literal ""owners_midpoint"" used"
code,D:\DS108_final\pages\3_Statistics.py,140,"Column literal ""wilson_score"" used"
code,D:\DS108_final\pages\3_Statistics.py,146,"Column literal ""wilson_score"" used"
code,D:\DS108_final\pages\3_Statistics.py,242,"Column literal ""error_y"" used"
code,D:\DS108_final\pages\3_Statistics.py,243,"Column literal ""error_y_minus"" used"
code,D:\DS108_final\pages\3_Statistics.py,85,"Column literal ""wilson_score"" used"
code,D:\DS108_final\pages\3_Statistics.py,91,"Column literal ""wilson_score"" used"
code,D:\DS108_final\pages\3_Statistics.py,242,"Column literal ""ci_high"" used"
