appid,name,release_date,year,developer,publisher,price,is_free,discount,price_group,positive_ratings,negative_ratings,rating_ratio,wilson_score,owners_min,owners_max,owners_midpoint,owners_min_known,ccu,genres,genre_Accounting,genre_Action,genre_Adventure,genre_Animation & Modeling,genre_Audio Production,genre_Casual,genre_Design & Illustration,genre_Early Access,genre_Education,genre_Free To Play,genre_Game Development,genre_Indie,genre_Massively Multiplayer,genre_Photo Editing,genre_RPG,genre_Racing,genre_Simulation,genre_Sports,genre_Strategy,genre_Utilities,genre_Video Production,genre_Web Publishing
1623730,Palworld,2024-01-18,2024,Pocketpair,Pocketpair,29.99,0,0,$10-30,358266,22443,0.9410494629756586,0.9402968170323094,50000000,100000000,75000000,True,18028,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1938090,Call of Duty: Modern Warfare II,2022-10-27,2022,Treyarch,Activision,69.99,0,45,>$30,419594,294520,0.5875728525137444,0.5864306192445253,50000000,100000000,75000000,True,67419,['Action'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2358720,Black Myth: Wukong,2024-08-19,2024,Game Science,Game Science,59.99,0,0,>$30,1111720,38378,0.9666306697342314,0.966300867042865,50000000,100000000,75000000,True,15004,"['Action', 'Adventure', 'RPG']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2246340,Monster Hunter Wilds,2025-02-27,2025,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",69.99,0,0,>$30,127273,91142,0.5827118100863036,0.5806423288972143,20000000,50000000,35000000,True,12494,"['Action', 'Adventure', 'RPG']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1966720,Lethal Company,2023-10-23,2023,Zeekerss,Zeekerss,9.99,0,0,<$10,473422,13738,0.9717998193611955,0.9713312125518226,10000000,20000000,15000000,True,6199,"['Action', 'Adventure', 'Indie', 'Early Access']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3164500,Schedule I,2025-03-24,2025,TVGS,TVGS,19.99,0,0,$10-30,200803,3238,0.9841306404105057,0.9835791992451206,10000000,20000000,15000000,True,22757,"['Action', 'Indie', 'Simulation', 'Strategy', 'Early Access']",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2186680,"Warhammer 40,000: Rogue Trader",2023-12-07,2023,Owlcat Games,Owlcat Games,49.99,0,0,>$30,26360,4445,0.855705242655413,0.8517368485432336,10000000,20000000,15000000,True,3582,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
3241660,R.E.P.O.,2025-02-26,2025,semiwork,semiwork,9.99,0,0,<$10,179154,6488,0.9650510121631958,0.9642059113854464,10000000,20000000,15000000,True,32349,"['Action', 'Early Access']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811260,EA SPORTS FIFA 23,2022-09-30,2022,EA Canada,Electronic Arts,0.0,1,0,Free,86192,65227,0.5692284323631777,0.5667324989183397,5000000,10000000,7500000,True,1280,"['Simulation', 'Sports']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2050650,Resident Evil 4,2023-03-23,2023,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",39.99,0,0,>$30,177539,4169,0.9770565962973562,0.9763580172694801,5000000,10000000,7500000,True,3748,"['Action', 'Adventure']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2881650,Content Warning,2024-04-01,2024,Zorro,Evil Landfall?,7.99,0,0,<$10,137483,7608,0.9475639426291086,0.9464050686199639,5000000,10000000,7500000,True,722,"['Action', 'Adventure', 'Indie']",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2195250,EA SPORTS FC 24,2023-09-28,2023,EA Canada,Electronic Arts,69.99,0,0,>$30,63281,46293,0.577518389398945,0.574590969207837,5000000,10000000,7500000,True,5110,"['Simulation', 'Sports']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2183900,"Warhammer 40,000: Space Marine 2",2024-09-09,2024,Saber Interactive,Focus Entertainment,59.99,0,0,>$30,134739,27846,0.8287295876003321,0.8268905090594134,5000000,10000000,7500000,True,6851,"['Action', 'Adventure', 'RPG']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1794680,Vampire Survivors,2022-10-20,2022,poncle,poncle,4.99,0,0,<$10,246479,3855,0.9846005736336255,0.9841107155236252,5000000,10000000,7500000,True,2966,"['Action', 'Casual', 'Indie', 'RPG']",0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
