appid,name,developer_x,publisher_x,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,store_name,release_date,genres,developer_y,publisher_y,store_price,is_free,year
1623730,Palworld,Pocketpair,Pocketpair,,358266,22443,0,"50,000,000 .. 100,000,000",0,0,0,0,38500000.0,2999,0,18028,Palworld,2024-01-18,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",Pocketpair,Pocketpair,38500000.0,False,2024.0
1938090,Call of Duty: Modern Warfare II,"Treyarch, Raven Software, Beenox, High Moon Studios, Activision Shanghai, Sledgehammer Games, Infinity Ward, Demonware, Toys for Bob",Activision,,419594,294520,0,"50,000,000 .. 100,000,000",0,0,0,0,3849.0,6999,45,67419,Call of Duty®,2022-10-27,['Action'],Treyarch,Activision,,False,2022.0
2358720,Black Myth: Wukong,Game Science,Game Science,,1111720,38378,0,"50,000,000 .. 100,000,000",0,0,0,0,5999.0,5999,0,15004,Black Myth: Wukong,2024-08-19,"['Action', 'Adventure', 'RPG']",Game Science,Game Science,5999.0,False,2024.0
2246340,Monster Hunter Wilds,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,127273,91142,0,"20,000,000 .. 50,000,000",0,0,0,0,6999.0,6999,0,12494,Monster Hunter Wilds,2025-02-27,"['Action', 'Adventure', 'RPG']","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",6999.0,False,2025.0
1966720,Lethal Company,Zeekerss,Zeekerss,,473422,13738,0,"10,000,000 .. 20,000,000",0,0,0,0,14200000.0,999,0,6199,Lethal Company,2023-10-23,"['Action', 'Adventure', 'Indie', 'Early Access']",Zeekerss,Zeekerss,14200000.0,False,2023.0
3164500,Schedule I,TVGS,TVGS,,200803,3238,0,"10,000,000 .. 20,000,000",0,0,0,0,1049.0,1999,0,22757,Schedule I,2025-03-24,"['Action', 'Indie', 'Simulation', 'Strategy', 'Early Access']",TVGS,TVGS,1049.0,False,2025.0
2186680,"Warhammer 40,000: Rogue Trader",Owlcat Games,Owlcat Games,,26360,4445,0,"10,000,000 .. 20,000,000",0,0,0,0,58500000.0,4999,0,3582,"Warhammer 40,000: Rogue Trader",2023-12-07,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",Owlcat Games,Owlcat Games,58500000.0,False,2023.0
3241660,R.E.P.O.,semiwork,semiwork,,179154,6488,0,"10,000,000 .. 20,000,000",0,0,0,0,44900.0,999,0,32349,R.E.P.O.,2025-02-26,"['Action', 'Early Access']",semiwork,semiwork,44900.0,False,2025.0
1811260,EA SPORTS FIFA 23,EA Canada &amp; EA Romania,Electronic Arts,,86192,65227,0,"5,000,000 .. 10,000,000",0,0,0,0,0.0,0,0,1280,EA SPORTS™ FIFA 23,2022-09-30,"['Simulation', 'Sports']",EA Canada,Electronic Arts,,False,2022.0
2050650,Resident Evil 4,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,177539,4169,0,"5,000,000 .. 10,000,000",0,0,0,0,85000000.0,3999,0,3748,Resident Evil 4,2023-03-23,"['Action', 'Adventure']","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",85000000.0,False,2023.0
